Top 2000 HathiTrust Open Titles, May 2014-May 2017


Title |  Uses | Publication Date
Ancestral roots of sixty colonists who came to New England between 1623 and 1650; the lineage of Alfred the Great, Charlemagne, Malcolm of Scotland, Robert the Strong, and some of their descendants. | 21348 views | 1951
Hiatt-Hiett genealogy and family history, 1699-1949; being, in particular, a record of John Hiett, Quaker, England to Pennsylvania c1699, and upwards of ten thousand of his descendants. | 21342 views | 1951
We charge genocide : the historic petition to the United Nations for relief from a crime of the United States government against the Negro people / | 21319 views | 1952
Pencil drawing step by step. | 21277 views | 1959
Ruth Wakefield's Toll house tried and true recipes, | 21266 views | 1940
Performing glam rock : gender and theatricality in popular music / | 21258 views | 2006
The achieving society. | 21223 views | 1961
New York World's fair cook book, the American kitchen, | 21220 views | 1939
A concept of agribusiness | 21181 views | 1957
Aerospace thesis topics list; research problems for science & engineering students. | 21177 views | 1963
Fugitives; the story of Clyde Barrow and Bonnie Parker, | 21139 views | 1934
Basic concepts of nuclear chemistry. | 21135 views | 1963
Codificación nacional de todas las leyes de Colombia desde el año de 1821, hecha conforme a la ley 13 de 1912. | 20994 views | 1824
County genealogies. Pedigrees of the families in the county of Hants; | 20942 views | 1833
A history of Hickman County, Tennessee; | 20911 views | 1900
1890 catalogue and price list of Acorn stoves and ranges / | 20829 views | 1890
Car builders' cyclopedia of American practice. | 20809 views | 1919
The frontier in American history, | 20807 views | 1940
Laboratory methods in histotechnology / | 20729 views | 1992
Paris France, | 20693 views | 1940
Principles of nuclear reactor engineering / | 20665 views | 1956
Paradigms and sand castles : theory building and research design in comparative politics / | 20566 views | 2003
Theoretical nuclear physics | 20543 views | 1958
A genealogical and historical memoir of the Otis family in America, | 20524 views | 1924
Microwave measurements. | 20475 views | 1957
The London stage, 1660-1800; a calendar of plays, entertainments & afterpieces, together with casts, box-receipts and contemporary comment. | 20467 views | 1968
The Dial | 20453 views | 1922
Sound absorbing materials / | 20385 views | 1949
Once a grand duke. | 20350 views | 1932
Old Dirck's book : a brief account of the life and times of Dirck Storm of Holland, his antecedents, and the family he founded in America in 1662. | 20289 views | 1949
Text-book of physical chemistry, | 20273 views | 1940
Godey's magazine. | 20251 views | 1898
Johnson County, Kentucky; a history of the county, and genealogy of its people up to the year 1927, | 20230 views | 1928
Absorption, distillation and cooling towers. | 20201 views | 1962
Treatment of malocclusion of the teeth. Angle's system. 7th ed., greatly enl. and entirely rewritten, with six hundred and forty-one illustrations. | 20179 views | 1907
The Myers-Briggs type indicator / | 20172 views | 1962
United States copper cents, 1816-1857, | 20104 views | 1944
Annual report of the Atlantic Coast Line Railroad Company for the year ending ... | 20099 views | 1912
Harper's weekly. | 20081 views | 1893
The science of correct thinking: logic | 20049 views | 1935
Descriptive catalogue of patented hardware specialties / | 20029 views | 1904
Calendar of inquisitions post mortem and other analogous documents preserved in the Public Record Office / | 19996 views | 9999
Advanced speeds in operative dentistry. | 19946 views | 1963
Soil-cement laboratory handbook. | 19919 views | 1956
Thirty years with fighting dogs / | 19898 views | 1935
Inventory control: theory and practice | 19887 views | 1962
U.S. armored cruisers : a design and operational history / | 19884 views | 1985
The history of Salem, Massachusetts, | 19876 views | 1928
Report of transit commissioner, city of Philadelphia, July, 1912. | 19829 views | 1913
Annual report. | 19577 views | 1863
The gamblers and Marriage, | 19483 views | 1927
Godey's magazine. | 19481 views | 1831
Society of Actuaries' textbook on life contingencies. | 19471 views | 1952
Silent sentinels; Westinghouse protective relays. | 19461 views | 1949
Decorative stitches and trimmings: Embroidery and decorative stitches. Ribbon and fabric trimmings. | 19412 views | 1934
Rhetorica | 19364 views | 1538
The Colored American magazine. | 19330 views | 1903
[Publications] | 19324 views | 9999
The red signal / | 19318 views | 1919
Naval documents related to the United States wars with the Barbary powers ... Naval operations including diplomatic background ... Published under direction of the ... Secretary of the Navy. | 19312 views | 1944
Law in everyday life / | 19308 views | 1993
The Saturday evening post. | 19296 views | 1921
Truth, lies, and o-rings : inside the Space Shuttle Challenger disaster / | 19277 views | 2009
Asphalt : its composition, properties, and uses. | 19261 views | 1961
Harper's weekly. | 19237 views | 1883
Social pathology : a systematic approach to the theory of sociopathic behavior / | 19174 views | 1951
General history of the things of New Spain : Florentine codex / | 19138 views | 1982
The history of Royal College (formerly called the Colombo Academy), | 19094 views | 1932
The reason of state, | 19078 views | 1956
God made the violet too; life of Leonie, sister of St. Therese. | 18977 views | 1948
The vestry book of St. Paul's parish, Hanover county, Virginia, 1706-1786. | 18948 views | 1940
al-Funūn. | 18923 views | 1918
Coffee processing technology, by Michael Sivetz and H. Elliott Foote. | 18905 views | 1963
The registers of the parish of Greystoke in the County of Cumberland. Baptisms, marriages, and burials, 1559-1757. | 18841 views | 1911
My beloved : the story of a Carmelite nun. | 18833 views | 1955
Names of foreigners who took the oath of allegiance to the province and state of Pennsylvania, 1727-1775, with the foreign arrivals, 1786-1808. | 18827 views | 1892
Studies in large plastic flow and fracture with special smphasis on the effects of hydrostatic pressure. | 18813 views | 1952
The Art Journal illustrated catalogue of the International Exhibition, 1862. | 18811 views | 1862
Earth art: Jan Dibbets, Hans Haacke, Neil Jenney, Richard Long, David Medalla, Robert Morris, Dennis Oppenheim, Robert Smithson, Günther Uecker. | 18784 views | 1970
An essay on universal history, the manners, and spirit of nations, from the reign of Charlemaign to the age of Lewis XIV. | 18772 views | 1759
The haunted stage : the theatre as memory machine / | 18768 views | 2001
The anatomy of revolution, | 18752 views | 1938
The Van Horn family history / | 18699 views | 1929
A world restored; Metternich, Castlereagh and the problems of peace, 1812-22. | 18650 views | 1957
The story of a family through eleven centuries, illustrated by portraits and pedigrees, being a history of the family of Gorges, | 18645 views | 1944
The progress of romance and The history of Charoba, queen of  Aegypt, | 18582 views | 1930
Avicenna's Poem on medicine, | 18578 views | 1963
Spectroscopic coefficients for the pn, dn, and fn configurations | 18553 views | 1963
The Tyler genealogy: the descendants of the Branford, Connecticut line of Roger Tyler. By Willard I. Tyler Brigham and Calvin Cedric Tyler. Volume III. | 18527 views | 1796
Bulletin no. 1-103. | 18515 views | 1913
Ami and Amile : a medieval tale of friendship / | 18498 views | 1996
How to win in Wall Street: by a successful operator. | 18497 views | 1881
Artists' pigments : a handbook of their history and characteristics / | 18417 views | 9999
Mittelalterliche Bibliothekskataloge Deutschlands und der Schweiz / | 18407 views | 1979
Timber bridges : design, construction, inspection, and maintenance / | 18392 views | 1990
The messenger. | 18367 views | 1920
Marriages of Culpeper County, Virginia, 1781-1815. | 18341 views | 1954
The psychology of selling and advertising, | 18329 views | 1925
Biographical souvenir of the states of Georgia and Florida : containing  biographical sketches of the representative public, and many early settled families in these states. | 18267 views | 1889
The Wright family of Oysterbay, L.I., with the ancestry of and descent from Peter Wright and Nicholas Wright, 1423-1923 / | 18261 views | 1923
Fluid-dynamic drag; practical information on aerodynamic drag and hydrodynamic resistance | 18238 views | 1958
County genealogies, pedigrees of Hertfordshire families. | 18191 views | 1844
Rock tunneling with steel supports, | 18165 views | 1946
Record of marks and brands for the State of Utah, embracing all marks and brands recorded to June 1st, 1901. | 18165 views | 1901
Fraser's magazine for town and country. | 18141 views | 1849
Place names in Colorado: why 700 communities were so named, 150 of Spanish or Indian origin. | 18140 views | 1954
Design of machine members / | 18094 views | 1951
Soviet/Russian armor and artillery design practices : 1945-1995. | 18053 views | 1995
Fundamental physics. | 18052 views | 1961
Lloyd's list. | 17984 views | 1744
Whistlin' woman and crowin' hen : the true legend of Dauphin Island and the Alabama coast / | 17920 views | 1956
Chinese calligraphy; an introduction to its aesthetic and technique, | 17917 views | 1954
Practical solution of torsional vibration problems : with examples from marine, electrical, and automobile engineering practice / | 17916 views | 1935
Fügen und Fügenberg., | 17908 views | 1971
[Publications] | 17858 views | 9999
Principles of international law / | 17857 views | 1952
A practical manual on the Monte Carlo method for random walk problems / | 17856 views | 1957
County genealogies. Pedigrees of Berkshire families. | 17823 views | 1837
The new Bible dictionary / | 17799 views | 1962
Physical chemistry; a brief course with laboratory experiments, | 17799 views | 1940
Trade-marks of the jewelry and kindred trades : illustrations and representations of the marks, registered and unregistered, used by manufacturers and dealers of jewelry, silverware, silver plated ware, watches, watch cases, precious and imitation stones, clocks, fountain pens, tools, materials, cut glass and cognate lines. | 17675 views | 1922
The forests of Michigan / | 17666 views | 2003
The Army almanac; a book of facts concerning the Army of the United States. | 17642 views | 1950
Harper's bazaar | 17585 views | 1922
The extraction of teeth. | 17564 views | 1961
Annual report of the Atchison, Topeka & Santa Fe Railway Company for ... | 17561 views | 1910
Primitive art. | 17556 views | 1951
Brooks and kindred families. | 17544 views | 1950
Harper's weekly. | 17541 views | 1881
Front-line intelligence / | 17499 views | 1986
A history of the Shelton family of England and America. | 17482 views | 1941
Unit operations / | 17432 views | 1950
Theory of the interior ballistics of guns. | 17412 views | 1950
The Ladies' home journal. | 17409 views | 1892
The history of Woodstock, Connecticut, | 17408 views | 1943
Encyclopedia of American Quaker genealogy, | 17356 views | 9999
The Mackeys (variously spelled) and allied families. | 17355 views | 1957
Folklore and symbolism of flowers, plants and trees, | 17352 views | 1960
Mortality statistics of the seventh census of the United States, 1850 ... with sundry comparative and illustrative tables. | 17326 views | 1855
White pillars; early life and architecture of the lower Mississippi valley country, | 17298 views | 1941
The London stage, 1660-1800; a calendar of plays, entertainments & afterpieces, together with casts, box-receipts and contemporary comment. | 17296 views | 1968
Amateur Radio Stations of the U.S. | 17289 views | 1929
Vocabolario genovese-italiano, compilato per la prima volta. | 17287 views | 1851
Men of West Virginia ... | 17274 views | 1903
Selmer band instrument repairing manual, | 17222 views | 1939
Nociones de economía política, | 17198 views | 1896
Comenius and the beginnings of educational reform. | 17180 views | 1900
Beauty, glamour and personality, | 17167 views | 1947
Fourier integrals for practical applications, | 17135 views | 1931
The pioneers of Massachusetts, a descriptive list, drawn from records of the colonies, towns and churches and other contemporaneous documents. | 17107 views | 1900
Piping stress calculations simplified. | 17081 views | 1955
Circuit analysis of A-C power systems; symmetrical and related components. | 17036 views | 1950
Behind the news in China / | 16999 views | 1938
Because of Stephen / | 16924 views | 1903
The English dictionarie of 1623 / | 16921 views | 1930
Attorney General's Commission on Pornography : final report. | 16919 views | 1986
1968-1973, the ten-year program at the halfway mark. | 16918 views | 1973
Winding alternating-current machines; a book for winders, repairmen, and designers of electric machines, | 16906 views | 1950
History of public land law development. | 16901 views | 1968
Engineering materials and processes. | 16897 views | 1959
The obsession of Victoria Gracen / | 16886 views | 1915
Economic control of quality of manufactured product / | 16858 views | 1931
Virginia historical genealogies. | 16830 views | 1954
South Dakota place-names, | 16822 views | 1940
Souvenir history of Pella, Iowa, contains a concise story of the founding and life of Pella, Iowa, | 16816 views | 1922
Register of the commissioned and warrant officers of the United States Navy and Marine Corps and reserve officers on active duty. | 16815 views | 1968
Wholesale hardware: mill, factory and railway supplies, mechanics' tools, iron and steel, valves, pipe and fittings, abrasive wheels, belting and transmission, automobile accessories and electrical supplies, building paper, roofing, metals and tin plate, builders' hardware. | 16728 views | 1918
Put reading first : the research building blocks for teaching children to read : kindergarten through grade 3 / | 16719 views | 2001
Clothes with character, | 16705 views | 1954
Deutscher Liederhort : Auswahl der vorzüglicheren Deutschen Volkslieder, nach Wort und Weise aus der Vorzeit und Gegenwart / | 16697 views | 1893
Five lessons: the modern fundamentals of golf | 16695 views | 1957
Record of recent construction : nos. 1 to 10 inclusive / | 16688 views | 1900
The failure of the Tacoma narrows bridge; a report to the Honorable John M. Carmody, administrator, Federal works agency, Washington, D.C. Board of engineers: Othmar H. Ammann, Theodore von Kármán [and] Glenn B. Woodruff. | 16686 views | 1941
Register of the commissioned and warrant officers of the United States Navy and Marine Corps and reserve officers on active duty. | 16683 views | 1970
Roll pass design ... | 16667 views | 9999
The Grenadier Guards in the war of 1939-1945, | 16659 views | 1949
Godey's lady's book | 16656 views | 1892
The Vrooman family in America : descendants of Hendrick Meese Vrooman who came from Holland to America in 1664 / | 16612 views | 1949
The Cibecue Apache | 16512 views | 1910
Sears; [catalog] | 16477 views | 1902
Dr. Martin Luthers Sämmtliche schriften, | 16469 views | 1910
Wilson's Dublin directory, for the year 1830... | 16425 views | 1829
The original lists of persons of quality, emigrants, religious exiles, political rebels, serving men sold for a term of years, apprentices, children stolen, maidens pressed, and others, who went from Great Britain to the American plantations, 1600-1700. | 16414 views | 1874
Puck : illustrirtes humoristisches Wochenblatt. | 16409 views | 1917
Properties of the thirty-two point groups | 16397 views | 1963
Biological testing involving human subjects by the Department of Defense, 1977 hearings before the Subcommittee on Health and Scientific Research of the Committee on Human Resources, United States Senate, Ninety-fifth Congress, first session ... March 8 and May 23, 1977. | 16387 views | 1977
Sofonisba Anguissola : a Renaissance woman / | 16363 views | 1995
Memories of a shipwrecked world, being the memoirs of Countess Kleinmichel, | 16361 views | 1923
The 84th infantry division in the battle of Germany, November 1944-May 1945, | 16326 views | 1946
The descendants of William and John Johnson, colonial Friends of Virginia, | 16308 views | 1940
Field service pocket book. 1914. General staff, War Office. | 16302 views | 1914
Union scale of wages and hours of labor, May 15, 1923 | 16287 views | 1924
Peacock pie; a book of rhymes | 16285 views | 1913
The Devil in Massachusetts, a modern inquiry into the Salem witch trials. | 16203 views | 1949
Tensor analysis of networks, | 16165 views | 1939
Mechanical engineering design. | 16163 views | 1963
The Englishwoman's domestic magazine. | 16163 views | 1860
Totius Latinitatis lexicon / | 16139 views | 1805
The diary of a drug fiend, | 16123 views | 1922
... Religion and ceremonies of the Lenape, | 16058 views | 1921
Catalogue of Mexican pamphlets in the Sutro collection (1623-1888) | 16057 views | 1940
Architecture: nineteenth and twentieth centuries. | 16056 views | 1963
Designing for people. | 16039 views | 1955
Flow of fluids through valves, fittings and pipe, | 16027 views | 1942
The transportation revolution, 1815-1860. | 16002 views | 1951
The Official guide of the railways and steam navigation lines of the United States, Puerto Rico, Canada, Mexico and Cuba. | 15991 views | 1910
Quintus Curtius [History of Alexander] | 15988 views | 1946
Dawes-Gates ancestral lines. A memorial volume ... | 15984 views | 1943
Lubrication of bearings : theoretical principles and design. | 15976 views | 1959
Life among the Indians, or: The captivity of the Oatman girls among the Apache & Mohave Indians; containing also: an interesting account of the massacre of the Oatman family, by the Apache Indians in 1851; the narrow escape of Lorenzo D. Oatman; the capture of Olive A. and Mary A. Oatman; the death by starvation of the latter; the five years' suffering and captivity of Olive A. Oatman; also, her singular recapture in 1856; | 15964 views | 1935
The strand magazine. | 15962 views | 1891
The genealogy of the Sims family of Virginia, the Carolinas and the Gulf States / | 15957 views | 1940
British documents on the origins of the war, 1898-1914. | 15956 views | 9999
The Felidae of Rancho La Brea / | 15944 views | 1932
Chinese pictures : notes on photographs made in China / | 15930 views | 1900
The records of the Reformed Dutch church of New Hackensack, Dutchess county, New York; | 15904 views | 1932
Fleisher's knitting & crocheting manual : the Fleisher yarns. | 15883 views | 1917
John Hayes, of Dover, New Hampshire; a book of his family... | 15874 views | 1936
Medical services; casualties and medical statistics of the great war, | 15861 views | 1931
American chess magazine. | 15836 views | 1899
Optimum design of mechanical elements / | 15835 views | 1961
Exterior ballistics / | 15829 views | 1953
Illustrated catalogue of fine locks and builders' hardware ... | 15828 views | 1899
History of Northampton, Lehigh, Monroe, Carbon, and Schuylkill counties: containing a brief history of the first settlers, topography of township, notices of leading events, incidents, and interesting facts in the early history of these counties: with an appendix, containing matters of deep interest ... | 15812 views | 1845
The urban pattern; city planning and design, | 15808 views | 1963
Tribute to Freud, | 15779 views | 1956
A Legislative history of the Clean Air Act Amendments of 1990, together with a section-by-section index / | 15770 views | 1993
Home needlework magazine ... | 15770 views | 1912
The Saturday evening post. | 15769 views | 1920
Eighteenth century records of the portion of Dutchess County, New York, that was included in Rombout precinct and the original town of Fishkill : presenting historical source material regarding land and people / | 15767 views | 1938
Rosicrucian principles for the home and business / | 15764 views | 1929
Practical solution of torsional vibration problems : with examples from marine, electrical, aeronautical, and automobile engineering practice / | 15763 views | 1942
Harper's bazaar | 15721 views | 1917
The Eiffel Tower : a description of the monument, its construction, its machinery, its object, and its utility : with an autographic letter of M. Gustave Eiffel / | 15707 views | 1889
The Ladies' home journal. | 15688 views | 1908
Aircraft lofting and template layout, | 15681 views | 1942
Hardy and Hardie, past and present. | 15673 views | 1935
The Omohundro genealogical record; the Omohundros and allied families in America; blood lines traced from the first Omohundro in Westmoreland County, Virginia, 1670, through his descendants in three great branches and allied families down to 1950. | 15668 views | 1951
Satans invisible world discovered. | 15666 views | 1871
Two centuries of Brothersvalley Church of the Brethren, 1762-1962; | 15665 views | 1962
Vanity fair. | 15656 views | 1922
A genealogical collection of South Carolina wills and records. | 15656 views | 1984
The biology of Paramecium. | 15650 views | 1953
Steam turbine theory and practice : a textbook for engineering students / | 15610 views | 1947
Roster of the soldiers from North Carolina in the American revolution, with an appendix containing a collection of miscellaneous records. | 15604 views | 1932
The Cooley genealogy, the descendants of Ensign Benjamin Cooley, an early settler of Springfield and Longmeadow, Massachusetts; and other members of the family in America, | 15588 views | 1941
The Directory and Chronicle for China, Japan, Corea, Indo-China, Straits Settlements, Malay States, Siam, Netherlands India, Borneo, the Philippines, and etc | 15587 views | 1902
Lloyd's list. | 15568 views | 1782
Forerunner. | 15563 views | 1910
The tragedy of American diplomacy. | 15549 views | 1962
Twisted tales from Shakespeare. | 15541 views | 1957
The Papyrus Ebers / | 15535 views | 1900
Totius Latinitatis lexicon / | 15533 views | 1805
Godey's magazine. | 15520 views | 1862
Circuit analysis of A-C power systems; symmetrical and related components. | 15485 views | 1950
English army lists and commission registers, 1661-1714 / | 15472 views | 1904
Reliques of the Rives (Ryves) / | 15466 views | 1929
Monthly labor review / | 15460 views | 1936
Pope's Essay on man, and Essay on criticism; | 15440 views | 1900
The model architect : a series of original designs for cottages, villas, suburban residences, etc., accompanied by explanations, specifications, estimates, and elaborate details : prepared expressly for the use of projectors and artisans throughout the United States / | 15407 views | 1852
Accident prevention manual for industrial operations. | 15406 views | 1955
The beginnings of diplomacy; a sociological study of intertribal and international relations. | 15405 views | 1950
The Bulkeley genealogy; Rev. Peter Bulkeley, being an account of his career, his ancestry, the ancestry of his two wives, and his relatives in England and New England, together with a genealogy of his descendants through the seventh American generation. | 15382 views | 1933
Historia genealogica della famiglia Carafa / | 15376 views | 1691
The Mormon Drapers. | 15364 views | 1958
The casework relationship. | 15349 views | 1957
Marvels of the new West. A vivid portrayal of the stupendous marvels in the vast wonderland west of the Missouri River. Six books in one volume ... | 15342 views | 1888
Story of Near East relief (1915-1930) | 15334 views | 1930
The secret diary of William Byrd of Westover, 1709-1712, | 15321 views | 1941
History of Taunton, Massachusetts, from its settlement to the present time, | 15309 views | 1893
Royal correspondence in the Hellenistic period : a study in Greek epigraphy / | 15302 views | 1934
Dr. Martin Luthers Sämmtliche Schriften / | 15300 views | 1910
Rudder. | 15291 views | 1901
The story of the Bloods, including an account of the early generations of the family in America in genealogical lines from Robert Blood of Concord and Richard Blood of Groton. | 15257 views | 1960
Marine casualty report : SS Edmund Fitzgerald; sinking in Lake Superior on November 10, 1975 with loss of life / | 15255 views | 1977
Shakespeare's comedy of Twelfth night; | 15248 views | 1905
Christopher Gist of Maryland and some of his descendants, 1679-1957, | 15232 views | 1958
A doll's house. : Ghosts / | 15226 views | 1906
The arts of costume and personal appearance. | 15200 views | 1955
The achieving society. | 15197 views | 1961
The Saturday evening post. | 15186 views | 1918
Ancestry of Jeremy Clarke of Rhode Island and Dungan genealogy, | 15179 views | 1922
Wages and hours of labor in the cotton, woolen, and silk industries. | 15167 views | 1916
The National union catalog, pre-1956 imprints ; a cumulative author list representing Library of Congress printed cards and titles reported by other American libraries / | 15159 views | 1981
Freight car distribution and car handling in the United States. | 15156 views | 1956
The Wyckoff family in America, a genealogy : prepared from the manuscript genealogical collections of the late William F. Wyckoff of Jamaica, New York / | 15138 views | 1934
Soldiers of the War of 1812 buried in Tennessee, | 15136 views | 1959
Artists' pigments : a handbook of their history and characteristics / | 15119 views | 9999
International Chinese business directory of the world / | 15063 views | 1913
Harper's weekly. | 15056 views | 1899
The Prolegomena of Jean Hardouin, | 15040 views | 1909
The Maryland Dents; a genealogical history of the descendants of Judge Thomas Dent and Captain John Dent who settled early in the Province of Maryland, | 15039 views | 1963
Harper's bazaar | 15020 views | 1921
Fifteen sermons preached on various important subjects. | 15016 views | 1794
Mechanical metallurgy. | 15005 views | 1961
Il matrimonio segreto. The secret marriage; a comic opera in two acts as represented at the New York Opera House, Jan. 1834. | 14994 views | 1834
Columbia university alumni register, 1754-1931, | 14983 views | 1932
Steam turbine theory and practice, a textbook for engineering students. | 14970 views | 1948
Our kin / | 14960 views | 1958
The Crusades, a documentary survey. | 14938 views | 1962
Vogue. | 14932 views | 1922
Thomas Davenport, Philipstown pioneer, 1682-1759, and his descendants, | 14928 views | 1962
Modern atomic and nuclear physics. | 14927 views | 1961
History and genealogy of the Hoagland family in America. From their first settlement at New Amsterdam, 1638-1891. | 14925 views | 1891
From Harlem to the Rhine; the story of New York's colored volunteers, | 14895 views | 1936
Vector analysis; a text-book for the use of students of mathematics and physics, | 14875 views | 1901
Godey's magazine. | 14872 views | 1856
The Directory and Chronicle for China, Japan, Corea, Indo-China, Straits Settlements, Malay States, Siam, Netherlands India, Borneo, the Philippines, and etc | 14846 views | 1873
Alfred Street, | 14829 views | 1917
Art monograms and lettering, | 14826 views | 1912
Smoothing, forecasting and prediction of discrete time series. | 14822 views | 1963
Washington's farewell address, in facsimile, with transliterations of all the drafts of Washington, Madison, & Hamilton, together with their correspondence and other supporting documents; edited, with a history of its origin, reception by the nation, rise of the controversy respecting its authorship, and a bibliography, | 14813 views | 1935
The rise and fall of an urban school system : Detroit, 1907-81 / | 14808 views | 1999
Metals and how to weld them, | 14805 views | 1962
The disappearing city, | 14787 views | 1932
Descendants of Nicholas Perkins of Virginia / | 14787 views | 1957
Dawes-Gates ancestral lines. A memorial volume ... | 14778 views | 1943
The Horseless age. | 14777 views | 1896
Control of nuclear reactors and power plants / | 14758 views | 1961
The Lady's book. | 14754 views | 1839
A domestic cook book : containing a careful selection of useful receipts for the kitchen / | 14753 views | 1866
Variations in value orientations | 14745 views | 1961
Math miracles. | 14727 views | 1950
Historia della sacra religione militare di S. Giovanni Gerosolimitano detta di Malta / | 14719 views | 1715
The glossilla book of crochet novelties; | 14718 views | 1912
Descendants of Thomas Dakin of Concord, Mass. | 14699 views | 1948
Alteration of men's clothing. | 14681 views | 1962
A genealogical and historical account of the Throckmorton family in England and the United States : with brief notes on some of the allied families / | 14679 views | 1930
The Colored American magazine. | 14677 views | 1909
The London stage, 1660-1800; a calendar of plays, entertainments & afterpieces, together with casts, box-receipts and contemporary comment. | 14675 views | 1968
Catalogue of Keuffel & Esser co., manufacturers and importers drawing materials, surveying instruments, measuring tapes ... | 14671 views | 1921
Higher education for American democracy, a report. | 14670 views | 1947
Karamojo safari. | 14668 views | 1949
Motorcycle illustrated. | 14665 views | 1915
Connecticut fights; the story of the 102nd regiment, | 14654 views | 1930
Soviet military power. | 14612 views | 1985
Yale, her campus, class-rooms, and athletics, | 14591 views | 1900
Principles of transistor circuits / | 14580 views | 1953
Skin deep, spirit strong : the Black female body in American culture / | 14571 views | 2002
Hopi journal of Alexander M. Stephen; | 14543 views | 1936
A date with a dish, a cook book of American Negro recipes | 14520 views | 1948
Tattered Tom, or, The story of a street Arab / | 14516 views | 1871
Able men of Suffolk, 1638; transcribed from the original in the Public Record Office, London, England, in the state papers domestic, Charles I, vol. 411; | 14515 views | 1931
Libros quinque adversus haereses; [Greek and Latin]... | 14513 views | 1857
The English ancestry and homes of the Pilgrim Fathers who came to Plymouth on the "Mayflower" in 1620, the "Fortune" in 1621, and the "Anne" and the "Little James" in 1623. | 14506 views | 1962
Goodwin's official annual turf guide for ... | 14505 views | 1892
Coupled mode and parametric electronics. | 14497 views | 1960
Waterloo, a history of the Anderson family of old Laurens District of South Carolina. | 14461 views | 1961
Documented notes on Jennings and allied families. | 14459 views | 1961
Stricklers of Pennsylvania : a history of the Strickler famielies who emigrated from Switzerland and settled principally in Bucks, Lancaster, York, and Lebanon counties in Pennsylvania / | 14454 views | 1942
Understanding organizational behavior / Chris Argyris. | 14450 views | 1960
The Eddy family in America, a genealogy comp. by Ruth Story Devereux Eddy...and pub. under the direction of the Eddy family association, in commemoration of the three hundredth anniversary of the landing of John and Samuel Eddy at Plymouth, Oct. 29, 1630. | 14446 views | 1930
The McComas saga, a family history down to the year 1950 / | 14436 views | 1950
The London stage, 1660-1800; a calendar of plays, entertainments & afterpieces, together with casts, box-receipts and contemporary comment. | 14425 views | 1968
Report on the death of Vincent W. Foster, Jr. / by the Office of Independent Counsel in Re Madison Guaranty Savings and Loan Association. | 14418 views | 1997
Florida magazine; history, science, health, fiction, recreation, fashion, music review. | 14407 views | 1902
Report on the death of Vincent W. Foster, Jr. / by the Office of Independent Counsel in Re Madison Guaranty Savings and Loan Association. | 14389 views | 1997
General Washington's spies on Long Island and in New York, | 14387 views | 1939
Ohio towns names. | 14383 views | 1959
History of Barron County, Wisconsin / | 14380 views | 1922
ASME standard; operation and flow process charts, 1947. | 14371 views | 1952
The master plan for Kansas City. | 14371 views | 1947
Maryland in the world war, 1917-1919; military and naval service records. | 14350 views | 1933
The religious system of the Amazulu. Izinyanga zokubula; or, Divination, as existing among the Amazulu, in their own words, | 14349 views | 1885
The Cliff dwellers of the Mesa Verde / | 14346 views | 1990
World's Columbian Exposition, 1893 : official catalogue. Part X. Department K. Fine arts / | 14334 views | 1893
The Peak guide, containing the topographical, statistical, and general history of Buxton, Chatsworth, Edensor, Castleton, Bakewell, Haddon, Matlock, and Cromford; with an introduction, giving a succint account of the trade and manufactures of the county; and alphabetical list of noblemen and gentlemen's seats, and several road sketches ... | 14320 views | 1845
Materials and documents of architecture and sculpture : classified alphabetically / | 14319 views | 1915
A genealogy and history of the Kauffman-Coffman families of North America, 1584 to 1937; including brief outlines of allied Swiss and Palatine families who were among the pioneer settlers in Lancaster and York counties of Pennsylvania from 1717 on; viz., Becker, Baer, Correll, Erisman, Fahs, Kuntz, Kneisley, Hershey, Hiestand, Meyers, Musselman, Neff, Martin, Ruby, Snavely, Shenk, Shirk, Sprenkle, Witmer, and others. | 14317 views | 1940
Fundamental physics. | 14310 views | 1961
Theory of land locomotion : the mechanics of vehicle mobility / | 14309 views | 1962
Dagh-register gehouden int Casteel Batavia vant passerende daer ter plaetse als over geheel Nederlandts-India. | 14307 views | 1629
Woodworking : a book of tools, materials, and processes for the handyman / | 14298 views | 1916
Catalogue & price list of Eugene Dietzgen Co., manufacturers of drawing materials and surveying instruments. | 14296 views | 1910
The strange death of Liberal England / | 14295 views | 1961
Airway Bulletin | 14290 views | 1927
Descendants of Virginia Calverts, | 14267 views | 1947
Hall's chronicle; containing the history of England, during the reign of Henry the Fourth, and the succeeding monarchs, to the end of the reign of Henry the Eighth, in which are particularly described the manners and customs of those periods. | 14253 views | 1809
Runyon genealogy; a genealogy of the Runyon families who settled early in Kentucky, North Carolina, Virginia, and West Virginia, | 14252 views | 1955
One dozen pre-Revolutionary War families of eastern North Carolina : and some of their descendants. | 14247 views | 1958
The Commercial car journal. | 14229 views | 1915
Gardiner-Gardner genealogy, including the English ancestry of George Gardiner, immigrant ancestor of Newport, R.I., & many of his descendants, especially his grandson, Stephen Gardiner of Gardner Lake, Connecticut, | 14222 views | 1937
The tryst. | 14213 views | 1921
The Griswold family, England-America : Edward of Windsor, Connecticut, Matthew of Lyme, Connecticut, Michael of Wethersfield, Connecticut / | 14211 views | 9999
The Rucker family genealogy, with their ancestors, descendants and connections, | 14165 views | 1932
Contrails, the Air Force cadet handbook. | 14157 views | 2000
Modern archives; principles and techniques / | 14145 views | 1996
