Top 2000 HathiTrust Closed Titles, May 2014-May 2017


Title |  Attempted Uses | Publication Date
The planters of the commonwealth; a study of the emigrants and emigration in colonial times: to which are added lists of passengers to Boston and to the Bay colony; the ships which brought them; their English homes, and the places of their settlement in Massachusetts.1620-1640. | 537 views | 1961
The thing / | 537 views | 1929
Codicis iuris canonici fontes | 535 views | 1939
Württembergisches Adels- und Wappenbuch / | 533 views | 1975
Die Geflügelzucht. | 528 views | 1927
Pioneering in educational television, 1932-1939; a documentary presentation. | 528 views | 1959
The account book of a Kentish estate, 1616-1704, | 527 views | 1927
A catalogue of the Muhammadan coins in the British Museum / | 526 views | 9999
The secret of the Barbican and other stories ... | 525 views | 1924
Reproduction of Thompson and West's history of Santa Barbara & Ventura Counties, California : with illustrations and biographical sketches of its prominent men and pioneers. | 525 views | 1961
Gascony under English rule, | 524 views | 1926
Solutions and answer manual for basic complex analysis / | 521 views | 1973
Laughing Anne & one day more : two plays / | 521 views | 1924
Nuzhat al-arwāḥ va rawẓat al-afrāḥ / tarjumah-ì Maqṣūd 'Alī Tabrīzī ; bih-kūshish-i Muḥammad Taqī Dānish̀pazhūh va Muḥammad Sarvar Mawlā̀ī. | 520 views | 1365
Macbeth / | 519 views | 1923
Lo̕rnamento nella̕rchitettura; ornamento scolpito--ornamento dipinto--ornamento nei suoi assiemi. | 518 views | 1927
The practical bee guide; a manual of modern beekeeping, | 518 views | 1932
The physical phenomena of spiritualism. | 518 views | 1930
The collected works. | 518 views | 1964
Aphasia and kindred disorders of speech, | 518 views | 1926
"Curiouser and curiouser" : a catalogue of strange books and curious titles. | 517 views | 1932
Analecta bollandiana. | 517 views | 9999
Hutchinson's Popular botany ... | 516 views | 1925
Horticultural colour chart. | 514 views | 1942
Carlyle on Cromwell and others (1837-48) | 513 views | 1925
A practical treatise on live stock insurance / | 511 views | 1928
Embassies of other days and further recollections | 511 views | 1923
Clavis patristica pseudepigraphorum Medii Aevi. | 510 views | 9999
Twenty-five years, 1892-1916 / | 509 views | 1925
Calendar of inquisitions miscellaneous, Chancery, preserved in the Public Record Office, | 507 views | 9999
The record of old Westminsters; a biographical list of all those who are known to have been educated at Westminster school from the earliest times to 1927, | 506 views | 1928
Historical records of the Buffs, Royal East Kent Regiment (3rd Foot) formerly designated the Holland Regiment and Prince George of Denmark's Regiment, 1919-1948 / | 506 views | 1951
The Orderly book of Lord Ogilvy's regiment in the army of Prince Charles Edward Stuart, 10 October, 1745, to 21 April, 1746 / | 506 views | 1923
The India office, | 505 views | 1926
The evolution of man; essays | 504 views | 1927
Musings of an old shikari; reflections on life and sport in jungle India, | 504 views | 1928
A note on the family of Black of Over Abington, 1694-1924 : with memoranda on the families of Willison of Redshaw, Steel of Annathill, and Blackie of Glasgow. | 504 views | 1924
The complete book of emigrants in bondage, 1614-1775 / | 503 views | 1988
Adabyat-i Farsi. | 503 views | 1362
Maqamat al-Hariri. | 502 views | 1364
The story of the liner, | 500 views | 1931
The beginnings of gnostic Christianity. | 500 views | 1940
Assyrian sculptures in the British museum, from Shalmaneser III to Sennacherib. | 499 views | 1938
Dissertation historique sur la vielle; où l'on éxamine l'origine & les progrès de cet instrument, avec une digression sur l'histoire de la musique ancienne & moderne, | 497 views | 1966
Biological effects of freezing and supercooling, | 497 views | 1961
The history and antiquities of the county of Hertford / | 497 views | 1827
The linings of life / | 494 views | 1928
Asianic elements in Greek civilisation; | 493 views | 1927
The New Jerome Biblical commentary / | 493 views | 1990
Wealth and life; a study in values, | 492 views | 1929
Embassies of other days and further recollections | 492 views | 1923
World war records : First division, A.E.F., regular. | 491 views | 1928
The book of etiquette / | 490 views | 1926
Xin ji li zi hui / | 490 views | 1935
"Ego"; random records of sports, service, and travel in many lands, | 490 views | 1923
The elementary forms of the religious life / Emile Durkheim ; | 489 views | 1965
The Mensing library. Catalogue of the very valuable and important library formed by the late Mr. Ant. W.M. Mensing ... <sold by order of his executors> including fine illuminated manuscripts, important incunabula, valuable early printed books, rare German woodcuts, fine bindings, voyages and travels, etc., which will be sold by auction by Messrs. Sotheby & Co ... at their large galleries ... on ... 15th of December 1936 and two following days ... | 489 views | 1936
The unpublished objects from the Palaikastro excavations, 1902-1906, | 485 views | 1923
Leaflets. | 485 views | 1952
Paradise of the blind / | 484 views | 1994
Resolutions of the fifth World Congress of the R.I.L.U. held in Moscow, August, 1930. | 481 views | 1931
Meiroku zasshi. Journal of the Japanese enlightenment. | 480 views | 1875
Turner's visions of Rome / | 479 views | 1925
The clockwork man | 478 views | 1923
Catalogue of the celebrated Carlos Cruz Montt collection of South American antiquities, the property of Señor Carlos Cruz-Eyzaguirre ... | 476 views | 1939
Unauthorized migration : an economic development response : report of the Commission for the Study of International Migration and Cooperative Economic Development. | 476 views | 1990
Journal de l'Ecole polytechnique, ou, Bulletin du travail fait à cette école. | 476 views | 1939
Catalogue of the International exhibition of Persian art; patrons: His Majesty the King, His Majesty Rizā Shāh Pahlavi. | 476 views | 1931
An Englishwoman in Angora, | 475 views | 1923
The historical record (1836-1926): 2nd issue. | 475 views | 1926
TV world. | 475 views | 1996
[Miscellaneous publications] | 475 views | 1946
Artists and their friends in England, 1700-1799, | 475 views | 1928
Calendar of plea and memoranda rolls preserved among the archives of the Corporation of the city of London at the Guild-hall. | 475 views | 1961
Gong he ying chou hui xuan / | 474 views | 1924
Official guide to the city of Bristol. | 474 views | 1938
U.S. air services. | 473 views | 1923
Higher education / | 472 views | 1948
Economics tripos papers, 1931-1933; with the papers set in the intercollegiate and preliminary examinations, 1931-1933. | 472 views | 1933
U.S. air services. | 471 views | 1928
The historical register of the University of Cambridge. Supplement, 1921-30. | 470 views | 1932
Aeronautical and miscellaneous note-book (ca. 1799-1826) of Sir George Cayley ; | 469 views | 1933
Wisconsin library bulletin. | 469 views | 1956
Thomas More / | 468 views | 1938
Records of clan Campbell in the military service of the Honourable East India company, 1600-1858; | 467 views | 1925
Bluestocking letters; | 466 views | 1926
The Illustrated London almanack. | 466 views | 9999
Report on the manuscripts of Allan George Finch, esq., of Burley-on-the-Hill, Rutland ... | 464 views | 9999
Background paper : Nicaragua's military build-up and support for Central American subversion. | 464 views | 1984
Gauguin / | 463 views | 1939
His Royal Highness the Duke of Connaught and Strathearn; a life and intimate study, | 462 views | 1929
Eisenhower's six great decisions; Europe, 1944-1945. | 462 views | 1956
Germination requirements of 19 species of arid land plants / | 461 views | 1979
Virginia Woolf. | 461 views | 1932
Analecta bollandiana. | 459 views | 9999
Human origins : an introduction to anthropology (Anthropology 220 a,b,c) : selected readings : series I / | 457 views | 1945
Fishing tackle. | 456 views | 1932
Thomae de Chobham summa confessorum. | 456 views | 1968
Lion series IIB aero engine. | 456 views | 1928
Souvenir of the incorporation of Dartford as a municipal borough, September 13, 1933. | 455 views | 1933
Homer Lane and the Little Commonwealth / | 454 views | 1965
World war records : First division, A.E.F., regular. | 453 views | 1928
Memories of the nineteenth century, | 452 views | 1923
Plutarchi Vitae parallelae; | 452 views | 1939
Monthly catalog of the United States government publications. | 452 views | 1954
The Royal Society, 1660-1940, a history of its administration under its charters, | 450 views | 1944
A descriptive catalogue of books, engravings and medals illustrating the evolution of the airship and the aeroplane. | 450 views | 1930
A revised handbook of British Lepidoptera, | 450 views | 1928
Fourteenth census of the United States, taken in the year 1920, etc. | 449 views | 1923
Northern Italy, from the Alps to Rome (Rome excepted) | 445 views | 1924
Special monograph. | 445 views | 9999
The Nigeria handbook containing statistical and general information respecting the colony and protectorate. | 445 views | 1936
A manual of the timbers of the world, their characteristics and uses. | 444 views | 1934
Immigrants to America before 1750; an alphabetical list of immigrants to the Colonies, before 1750, compiled from official and other records. | 444 views | 9999
Concerning the text of the Apocalypse; collations of all existing available Greek documents with the standard text of Stephen's third edition, together with the testimony of versions, commentaries and fathers; a complete conspectus of all authorities, | 443 views | 1929
Calendar of the patent rolls preserved in the Public Record Office: Elizabeth [I] | 443 views | 9999
The great game in Asia (1800-1844) | 442 views | 1927
Spenser : selections / | 442 views | 1923
Register of apprentices of the Worshipful Company of Clockmakers of the city of London from its incorporation in 1631 to its tercentenary in 1931. | 442 views | 1931
Hijack : a play in one act / | 441 views | 1972
Zindagani Shah 'Abbas-i Aval. | 441 views | 1371
Medieval studies [Second series] no. 8- | 441 views | 9999
Wisconsin library bulletin. | 441 views | 1970
Marcion, on the restitution of Christianity : an essay on the development of radical Paulinist theology in the second century / | 441 views | 1984
Genealogical dictionary of Maine and New Hampshire, | 439 views | 1972
Wisconsin library bulletin. | 439 views | 1962
Model boiler-making. A practical handbook on the designing, making, and testing of small steam boilers. | 439 views | 1901
The southlands of Siva: some reminiscences of life in southern India. | 439 views | 1923
Panama : a country study / | 437 views | 1980
The Roman soldier; some illustrations representative of Roman military life with special reference to Britain, | 437 views | 1928
Primitive law / | 437 views | 1924
Codicis iuris canonici fontes | 436 views | 1939
Man of Aran, | 436 views | 1935
The Englishwoman's review of social and industrial questions. | 435 views | 1870
Status of Puerto Rico; report. | 435 views | 1966
Sanchez Rojas : cronica de un cronista / | 435 views | 1984
English lyrics of the XIIIth century, | 434 views | 1932
Journal de l'Ecole polytechnique, ou, Bulletin du travail fait à cette école. | 433 views | 1939
SIO reference | 432 views | 9999
The rabbit in Australia; history, life story, habits, effect upon Australian primary production and best means of extermination ... | 432 views | 1935
The Welcome claimants proved, disproved and doubtful with an account of some of their descendants, | 432 views | 1970
Parergon; or, Eddies in Equatoria, | 429 views | 1931
A guide to the exhibition of Roman coins in the British museum; | 428 views | 1927
Geschichte und Topographie der Umgebung von Passau : beziehungsweise d. ehemaligen Fürstbisthumes Passau u. d. Landes d. Abtei mit Ausschluss d. Stadt Passau u. d. weiter unten in Oesterreich gelegenen fürstbischöfl. Beistzungen / | 428 views | 1974
The Electrician and electrical engineer. | 427 views | 1887
Calendar of entries in the Papal registers relating to Great Britain and Ireland. : Papal letters, 1198- ... / | 427 views | 9999
The foreign policy of Canning, 1822-1827; England, the neo-Holy alliance and the New World, | 426 views | 1925
Mrs. Keith's crime; a record, | 424 views | 1925
Storm centres of the Near East : personal memories, 1879-1929, | 424 views | 1933
Dīvān-i Kāmil Īraj Mīrzā : Va taḥqīq dar aḥvāl, ās̤ār, afkār, ash'ār, khāndān va niyākān-i ̀ū / | 422 views | 1365
Tareekh-i Isma'ilyan Dar Iran. | 421 views | 1371
The antiquity of man / | 421 views | 1927
How Britain is governed; a critical analysis of modern developments in the British system of government. | 419 views | 1930
TV world. | 418 views | 1996
Epistemology. | 418 views | 1949
Pastoral poetry, and an essay on criticism / | 418 views | 1961
The gleam, | 418 views | 1923
On shame and the search for identity. | 417 views | 1958
Calendar of inquisitions miscellaneous, Chancery, preserved in the Public Record Office, | 416 views | 9999
Scent and all about it; a popular account of the science and art of perfumery, | 415 views | 1928
[Collected reprints] / | 415 views | 1989
Modern India and the West; a study of the interaction of their civilizations; | 415 views | 1941
Diversions of an Indian political. | 415 views | 1932
Alexander the Great / | 414 views | 1933
The British Empire : a survey. | 414 views | 1924
Queen's folly, | 412 views | 1925
The chosen four, | 412 views | 1928
Artists and their friends in England, 1700-1799, | 412 views | 1928
These eventful years; the twentieth century in the making, as told by many of its makers; being the dramatic story of all that has happened throughout the world during the most momentous period in all history, | 412 views | 1924
A history of the British army, | 411 views | 1930
Unemployment and the child; being the report on an enquiry conducted by the Save the children fund, into the effects of unemployment on the children of the unemployed and on unemployed young workers in Great Britain. | 410 views | 1933
Mysteries of the Libyan Desert; a record of three years of exploration in the heart of that vast & waterless region, | 410 views | 1925
The journals of Henry Melchior Muhlenberg. | 410 views | 1958
The pardoner's tale, | 410 views | 1942
The poverty of historicism. | 410 views | 1957
The Englishwoman's review of social and industrial questions. | 410 views | 1910
Sappho of Lesbos: her life and times, | 409 views | 1932
A history of Northumberland. issued under the direction of the Northumberland county history committee. | 409 views | 1940
The defence of London 1915-1918, | 409 views | 1924
God's commonwealths, British and American : with a chapter on Christ's visit to Britain / | 409 views | 1928
Selected essays and critical writings, | 409 views | 1935
IRRA newsletter. | 408 views | 1952
The Theodelitus and topographical instrument of Leonard Digges of University college, Oxford / | 408 views | 1927
Die philosophische Lehre des Platonismus / | 408 views | 9999
Macedonians in North America, an outline. | 407 views | 1960
The Living church. | 407 views | 1947
Races of Africa / | 407 views | 1930
The film in national life : being the report of an enquiry conducted by the Commission on Educational and Cultural Films into the service which the cinematograph may render to education and social progress. | 406 views | 1932
Sanditon, The Watsons, Lady Susan, and other miscellanea. | 406 views | 1934
Studies in English Puritanism from the restoration to the revolution, 1660-1688, | 405 views | 1931
Murals by Cândido Portinari in the Hispanic foundation of the Library of Congress. | 405 views | 1943
The Lancet Commission on Nursing : | 404 views | 1932
Homer's Ithaca; a vindication of tradition, | 404 views | 1927
The history of flight; a descriptive catalogue of books, | 403 views | 1936
The sonnets of Karl August Georg Max, graf von Platen-Hallermünde, | 403 views | 1923
I attacked Pearl Harbor; | 403 views | 1949
Selected poems. | 402 views | 1933
Perspective for art students / | 401 views | 1924
British incomes and property; the application of official statistics to economic problems, | 400 views | 1927
Artists and their friends in England, 1700-1799, | 400 views | 1928
Seasons and days. | 400 views | 1949
Naval operations ... | 399 views | 1931
Philip Webb and his work / | 399 views | 1935
Psychotherapy of the psychoses | 398 views | 1961
Calendar of the patent rolls preserved in the Public Record Office. Richard II, A.D. 1377-1399 / | 396 views | 1971
More letters from Martha Wilmot; impressions of Vienna, 1819-1829, | 395 views | 1935
Vacant thrones : a volume of political portraits / | 395 views | 1931
Network analysis : solutions manual / | 394 views | 1976
Navies and nations; a review of naval developments since the great war, | 394 views | 1927
Handbook of histopathological techniques (including museum technique) | 393 views | 1963
Monthly catalog of the United States government publications. | 393 views | 1974
Smith-Dorrien, | 392 views | 1931
Moulders of destiny; renaissance lives and times, | 392 views | 1938
Wisconsin library bulletin. | 391 views | 1947
A royal catalogue; | 390 views | 1935
Guy Mervyn. | 389 views | 1936
Categoriae vel praedicamenta :  translatio Boethii - editio composita, translatio Guillelmi de Moerbeka, lemmata e Simplicii commentario decerpta, pseudo-Augustini paraphrasis Themistiana / | 388 views | 1961
Leadership, education, and training / | 388 views | 2005
Theories of population from Raleigh to Arthur Young; | 388 views | 1931
Pioneering in agriculture; one hundred years of American farming and farm leadership, | 388 views | 1937
Folk-say, a regional miscellany. | 387 views | 1932
The underwater guide to marine life | 387 views | 1956
Founders of early American families : immigrants from Europe, 1607-1657 / | 386 views | 2002
A survey of burlesque and parody in English / | 385 views | 1931
Gallantry, its public recognition and reward in peace and in war, at home and abroad. | 385 views | 1939
The Spiritual Issues of the War | 385 views | no valid date
Tobacco Coast : a maritime history of Chesapeake Bay in the colonial era / | 384 views | 1953
The life of Lord Morley ... | 384 views | 1923
Agamennone con commento di Paolo Ubaldi. | 384 views | 1925
Wisconsin library bulletin. | 384 views | 1949
Light and shade in bygone India : a study of the soldier in India at the end of the eighteenth and beginning of the nineteenth centuries / | 383 views | 1927
Clavis patrum latinorum : qua in corpus christianorum edendum optimas quasque scriptorum recensiones a Tertulliano ad Bedam / | 382 views | 1995
Industrial society, | 382 views | 1930
Monthly catalog of the United States government publications. | 382 views | no valid date
The letters of the Rev. John Wesley ... | 381 views | 1931
The commons of Argyll : name-lists of 1685 and 1692 / | 381 views | 1935
The Roman republic, | 381 views | 1923
The novels of Samuel Richardson. Complete and unabridged. | 379 views | 1970
The record of old Westminsters; a biographical list of all those who are known to have been educated at Westminster school from the earliest times to 1927, | 379 views | 1928
Studies in education during the age of the Renaissance, 1400-1600 / | 379 views | 1924
Codicis iuris canonici fontes | 379 views | 1939
Energy abstracts for policy analysis. | 378 views | 1988
Mycenae; a narrative of researches and discoveries at Mycenae and Tiryns. | 378 views | 1967
Bulletin de l'Institut historique belge de Rome. | 378 views | 2007
TV world. | 377 views | 1997
The way to sketch, notes on the essentials of landscape sketching; particular reference being made to the use of water-colour, | 377 views | 1925
Mechanical vibrations, theory and applications; an introduction to practical dynamic engineering problems in the structural field, | 376 views | 1943
Hertford County records ... Compiled under the direction of the Hertfordshire County council. | 376 views | 9999
The BOCA basic/national building code. | 376 views | 1984
U.S. air services. | 376 views | 1925
Sacraments of simple folk / | 376 views | 1933
The body of polycye. | 375 views | 1971
The uncelestial city / | 375 views | 1930
Memories of a Victorian, | 374 views | 9999
Portugal now, | 374 views | 1937
Murder in the synagogue, | 373 views | 1970
The gay Victorians, | 373 views | 1930
Calendar of the liberate rolls preserved in the Public Record Office : Henry III / | 373 views | 1964
al-Imam Abu 'Amr al-Dani wa kitabuhu Jami' al-bayan fi al-qiraàt al-sab'. | 372 views | 1088
Encyclopedia of American Quaker genealogy, | 372 views | 9999
Ground water conditions in central and northern California. | 371 views | 1969
The civilization of Greece in the bronze age ... | 370 views | 1928
Jazz and ragtime records (1897-1942) / | 370 views | 2002
More memories, | 370 views | 1933
Catalogue of the celebrated collection of ancient marbles, the property of the most honourable the Marquess of Lansdowne, which will be sold by auction by Messrs. Christie, Manson & Woods on Wednesday, March 5, 1930, at Lansdowne House, London ... | 369 views | 1930
Anglers guide. | 369 views | 1940
The Lambeth Conference 1930 : encyclical letter from the bishops with resolutions and reports. | 369 views | 1930
The register of baptisms, marriages & burials of the parish of Colyton, Devon, 1538-1837 ... | 368 views | 1928
History of the King's Own Yorkshire Light Infantry / | 368 views | 9999
Special monograph. | 367 views | 9999
In Victorian days and other papers / | 367 views | 1939
Master Richard Quyny, baliff of Stratford-upon-Avon and friend of William Shakespeare / | 367 views | 1924
Candidates for office; beliefs and strategies | 366 views | 1968
Obras completas. | 366 views | 9999
Guernica : being the official report of a commission appointed by the Spanish National government to investigate the causes of the destruction of Guernica on April 26-28, 1937 / | 365 views | 1938
The two undertakers / | 365 views | 1933
Wisconsin library bulletin. | 365 views | 1980
The libelle of Englyshe polycye, a poem on the use of sea-power, 1436, | 364 views | 1926
Thomas Hardy's epic-drama; a study of The dynasts. | 364 views | 1963
Solitude : a novel / | 364 views | 1992
Microcosm of London; or, London in miniature. | 364 views | 1947
The history of the English novel. | 363 views | 1939
English conversation pictures of the eighteenth and early nineteenth centuries, | 363 views | 1931
Journal of proceedings. | 363 views | 1959
Ashanti law and constitution, | 363 views | 1929
Codicis iuris canonici fontes | 363 views | 1939
Freud's principles of psychoanalysis (Basic principles of psychoanalysis) | 363 views | 1953
Special monograph. | 363 views | 9999
Report | 363 views | 1951
The new quantum mechanics, | 362 views | 1929
Lincolnshire church notes, | 362 views | 1936
International studies in modern education, | 362 views | 1938
Jerusalem; a practical guide to Jerusalem and its environs, with excursions to Bethlehem, Hebron, Jericho ... | 362 views | 1924
History of the 1st & 2nd battalions, the Sherwood Foresters, Nottinghamshire and Derbyshire Regiment, 45th Foot, 95th Foot, 1740-1914. | 361 views | 1929
Monthly catalog of the United States government publications. | 360 views | 1953
An elementary treatise on the dynamics of a particle and of rigid bodies / | 360 views | 1930
Complete works; | 360 views | 1936
The eastern road, | 360 views | 1924
The world's great religious poetry, | 360 views | 1923
Risalah-'i ila al-ha'im al-kha'if min lawmat al-la'im. | 360 views | 1364
Kitāb aḥkām al-Qur'ān / | 359 views | 1338
The carcasses / | 359 views | 2006
Things that have interested me, | 359 views | 1926
A book: of Grey Owl; pages from the writings of Wa-sha-quon-#ain, with an introduction | 359 views | 1938
Handbook of American Indian languages / | 359 views | 9999
Anthony O'Hara, Knight of Malta : memoir of a Russian diehard / | 358 views | 1938
Petroleum, | 358 views | 1928
Archivum franciscanum historicum. | 358 views | 1977
U.S. air services. | 358 views | 1924
Maori witchery; native life in New Zealand, | 358 views | 1929
Flemish art, a critical survey, | 357 views | 1927
The Queen's choice; a story of Canada's capital. | 357 views | 1961
Catalogue of the library of Edward Gibbon ... left by him at Lausanne. Which will be sold by auction | 356 views | 1934
Tasir-i Quran va ḥasdis dar adabiyat-i Farsi. | 356 views | 1371
Norah to the rescue : a story of the Philippines / | 356 views | 1933
Ancient Cyprus, its art and archaeology, | 356 views | 1937
Prose by professionals; the inside story of the magazine article writer's craft, | 355 views | 1961
Monthly catalog of the United States government publications. | 355 views | 1933
The American city. | 353 views | 1927
Seas of adventures; the story of the naval operations in the Mediterranean, Adriatic, and AEgean, | 353 views | 1936
Acton, Gladstone, and others, | 353 views | 1924
Confucianism and modern China : the Lewis Fry memorial lectures, 1933-34, delivered at Bristol university by Reginald F. Johnston. | 353 views | 1934
The Staffordshire quarter sessions rolls. Vol. 1 (1581)- | 352 views | 9999
Fragments / | 352 views | 2002
To return to all that; an autobiography, | 352 views | 1930
Novai͡a zhiznʹ : pervai͡a legalʹnai͡a s.-d. bolʹshevistskai͡a gazeta, 27 okti͡abri͡a-3 dekabri͡a 1905 goda / | 352 views | 1926
A short history of our times, | 352 views | 1935
The bond of peace and other war-time addresses, | 351 views | 1941
Dogs of today, | 350 views | 1931
Excavations at Dwarka [1963] / | 350 views | 1966
Report of Marine Borer Conference / | 350 views | 1953
The international distribution of raw materials. | 350 views | 1938
Official catalogue of the Museum of Artillery in the Rotunda, Woolwich. | 348 views | 1934
Final system plan for restructuring railroads in the Northeast and Midwest region pursuant to the Regional rail reconstruction act of 1973. | 348 views | 1975
Violations of free speech and rights of labor. | 348 views | 1941
With pen and brush in eastern lands when I was young / | 348 views | 1929
Romanticism, | 348 views | 1927
The metaphysical foundations of modern physical science : a historical and critical essay / | 347 views | 1925
The Canadian primary iron and steel industry / | 347 views | 1956
The travel-diaries of William Beckford of Fonthill, | 347 views | 1928
Letters. | 346 views | 1927
Bulletin de l'Institut historique belge de Rome. | 346 views | 2007
An introduction to expository writing, | 346 views | 1926
Emergent evolution and the social, | 346 views | 1927
Jane Eyre, | 346 views | 1924
Aristotle dictionary / | 345 views | 1962
The lives of the British hymn-writers; being personal memoirs derived largely from unpublished materials ... | 345 views | 9999
Analecta bollandiana. | 345 views | 9999
Roster of officers and enlisted men, 84th infantry division, European theatre of operations, World war II, | 343 views | 1946
Chen shi zu pu / | 343 views | 1977
Monthly catalog of the United States government publications. | 342 views | 1955
Housing: with particular reference to post-war housing schemes. | 342 views | 1928
Fornander collection of Hawaiian antiquities and folklore ... | 342 views | 9999
Encounters. | 341 views | 1960
Tratado de libre comercio entre los Estados Unidos Mexicanos y la República de Colombia y la República de Venezuela | 341 views | 1994
Monthly catalog of the United States government publications. | 340 views | 1952
Catalogue of the choice collection of arms and armour formed by Sir Henry Farnham Burke : which (by order of the executors) will be sold by auction by Messrs. Christie, Manson & Woods at their great rooms on Tuesday, May 5, 1931. | 340 views | 1931
Weather glossary. | 340 views | 1946
Henry David Thoreau; representative selections, with introduction, bibliography, and notes, | 340 views | 1934
Lincoln finds a general; a military study of the Civil War. | 340 views | 1959
The Arunta: a study of a stone age people, | 339 views | 1927
New scientist | 338 views | 9999
Calendar of the Fine rolls preserved in the Public record office. | 337 views | 9999
Plutarch's lives / | 337 views | 1924
Anglers guide and abridged list of fishing tackle. | 336 views | 1938
The law reports of Palestine : being cases decided in the years 1920-[1935] ... inclusive by the Supreme court of Palestine sitting as a court of appeal in civil and land cases, a court of criminal appeal, a high court of justice and a special tribunal, and by the Court of Criminal Assize of Palestine : and cases decided in the years 1920-[1935] ... by the lords of the Judicial Committee of the Privy Council on appeal from the Supreme Court of Palestine / | 335 views | 1937
Crime in America--aspects of organized crime, court delay, and juvenile justice. Hearings, Ninety-first Congress, first session, pursuant to H. Res. 17 . | 335 views | 1970
New York is not America, | 334 views | 1927
A cavalier in China, | 334 views | 1940
The passing hour, | 334 views | 1925
The Royal Navy today. | 334 views | 1942
Monthly catalog of the United States government publications. | 333 views | no valid date
A history of ancient & medieval philosophy. | 333 views | 1950
Buttons and design scarabs illustrated by the Egyptian collection in University college, London, | 332 views | 1925
Falakī-i-S̲ẖirwānī: his times, life, and works, b | 332 views | 1929
On hill and plain / | 332 views | 1933
Beiträge zur Geschichte der Philosophie des Mittelalters. Texte und Untersuchungen. | 332 views | 1927
The army from September 1939 to December 1940. | 331 views | 1941
A Gothic bibliography / | 330 views | 1941
Catalogus codicum manuscriptorum graecorum qui in monasterio Sanctae Catharinae in Monte Sina asservantur ... | 330 views | 9999
Repertorium der lateinischen Sermones des Mittelalters: für d. Zeit von 1150-1350/ | 330 views | 9999
Summary of operations; annual report of the State Oil and Gas Supervisor. | 330 views | 1935
Wisconsin library bulletin. | 329 views | 1940
The romance of the law merchant : being an introduction to the study of international and commercial law, with some account of the commerce and fairs of the middle ages / | 329 views | 1923
The King's passengers to Maryland and Virginia / | 328 views | 1997
The Phillimore railway collection; catalogue of the well-known and extensive collection of books, autograph letters, prints and pictures, maps, pottery, porcelain and glass, works of art, etc. relating to railways & locomotive engines; the property of the late John Phillimore ... which will be sold by auction by Messrs. Sotheby & co. ... on Tuesday, the 28th of April, 1942 ... | 328 views | 1942
Encounters; two studies in the sociology of interaction. | 328 views | 1961
The letters of the Rev. John Wesley ... | 327 views | 1931
Northern Italy, from the Alps to Rome (Rome excepted) | 327 views | 1924
Electromagnetism, | 326 views | 1934
On ancient Greek accentuation, | 326 views | 1925
World war records : First division, A.E.F., regular. | 326 views | 1928
The law of the Commonwealth and Chief Justice Shaw. | 325 views | 1957
Malekula, a vanishing people in the New Hebrides, | 325 views | 1934
Die Weltbühne. | 324 views | 1926
Index londinensis to illustrations of flowering plants, ferns and fern allies, being an emended and enlarged edition continued up to the end of the year 1920 of Pritzel's Alphabetical register of representations of flowering plants and ferns compiled from botanical and horticultural publications of the XVIIIth and XIXth centuries; : prepared under the auspices of the Royal horticultural society of London at the Royal botanic gardens, Kew, / | 324 views | 1931
Letters to three friends, | 324 views | 1924
Poultry breeding and production. | 324 views | 1929
Catálogo de pasajeros a Indias durante los siglos XVI, XVII y XVIII, | 324 views | 1930
The Spanish origin of international law. [Pt.I.]. Francisco de Vitoria and his Law of nations. | 323 views | 1934
Anthropos / | 323 views | 9999
Contemporary mind | 323 views | 1934
Ferox and char in the lochs of Scotland; an inquiry, | 323 views | 9999
Speculum christiani, a Middle English religious treatise of the 14th century, | 322 views | 1930
The complete Persepolis / | 322 views | 2007
Xin Guangdong guan cha ji / | 322 views | 1986
The sailor who fell from grace with the sea / | 321 views | 1980
Czechoslovakia. | 321 views | 1957
Prosodia latina; an introduction to classical Latin verse, | 320 views | 1923
Modern trends in public health. | 320 views | 1949
Victorians all, | 319 views | 1931
The Bravo mystery and other cases, | 319 views | 1923
The constitutional law of the British dominions / | 319 views | 1933
[Miscellaneous publications] | 319 views | 1946
Monthly catalog of the United States government publications. | 319 views | 1957
Some ancient novels; Leucippe and Clitophon, Daphnis and Chloe, The Satiricon, The golden ass, | 318 views | 1940
The Palatine families of New York : a study of the German immigrants who arrived in colonial New York in 1710 / | 318 views | 1985
Mission San Xavier del Bac, Arizona; a descriptive and historical guide, | 318 views | 1940
Essays on current themes, | 318 views | 1923
My fifty years, | 318 views | 1926
The Englishwoman's review of social and industrial questions. | 317 views | 1910
The publishers weekly. | 317 views | 1954
Storia di Roma durante le guerre puniche in due volumi ... | 317 views | 1927
The changing East, | 317 views | 1926
SIO reference | 317 views | 9999
Rules of the air and air traffic control (RAC Division) [Final report on the work of the Rules of the Air and Air Traffic Control Division] | 317 views | 1948
The life & adventures of Mrs. Christian Davies, commonly called Mother Ross. | 316 views | 1928
Atmospheric emissions from petroleum refineries; a guide for measurement and control. | 316 views | 1960
Catalogue of the famous collection of old master drawings formed by the late Henry Oppenheimer ... which ... will be sold at auction by Messrs. Christie, Manson & Woods ... on [July 10, 13, 14, 1936] | 316 views | 1936
They saw it happen; eyewitness reports of great events, | 315 views | 1951
Cours d'été de langue et civilisation françaises pour étudiants et professeurs étrangers. | 315 views | 1957
A collection of upper South Carolina genealogical and family records / | 315 views | 9999
